REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,ATSODIFH1,S04B1,2052,2.38821e-05
REGION1,ATSODIFH1,S04B1,2053,2.38821e-05
REGION1,ATSODIFH1,S04B1,2054,2.38821e-05
REGION1,ATSODIFH1,S04B1,2055,2.38821e-05
REGION1,ATSODIFH1,S04B1,2056,2.38821e-05
REGION1,ATSODIFH1,S04B1,2057,2.38821e-05
REGION1,ATSODIFH1,S04B1,2058,2.38821e-05
REGION1,ATSODIFH1,S04B1,2059,2.38821e-05
REGION1,ATSODIFH1,S04B1,2060,2.38821e-05
REGION1,ATSODIFH1,S04B2,2015,0.154469441
REGION1,ATSODIFH1,S04B2,2016,0.154469441
REGION1,ATSODIFH1,S04B2,2017,0.154469441
REGION1,ATSODIFH1,S04B2,2018,0.154469441
REGION1,ATSODIFH1,S04B2,2019,0.154469441
REGION1,ATSODIFH1,S04B2,2020,0.154469441
REGION1,ATSODIFH1,S04B2,2021,0.154469441
REGION1,ATSODIFH1,S04B2,2022,0.154469441
REGION1,ATSODIFH1,S04B2,2023,0.154469441
REGION1,ATSODIFH1,S04B2,2024,0.154469441
REGION1,ATSODIFH1,S04B2,2025,0.154469441
REGION1,ATSODIFH1,S04B2,2026,0.154469441
REGION1,ATSODIFH1,S04B2,2027,0.154469441
REGION1,ATSODIFH1,S04B2,2028,0.154469441
REGION1,ATSODIFH1,S04B2,2029,0.154469441
REGION1,ATSODIFH1,S04B2,2030,0.154469441
REGION1,ATSODIFH1,S04B2,2031,0.154469441
REGION1,ATSODIFH1,S04B2,2032,0.154469441
REGION1,ATSODIFH1,S04B2,2033,0.154469441
REGION1,ATSODIFH1,S04B2,2034,0.154469441
REGION1,ATSODIFH1,S04B2,2035,0.154469441
REGION1,ATSODIFH1,S04B2,2036,0.154469441
REGION1,ATSODIFH1,S04B2,2037,0.154469441
REGION1,ATSODIFH1,S04B2,2038,0.154469441
REGION1,ATSODIFH1,S04B2,2039,0.154469441
REGION1,ATSODIFH1,S04B2,2040,0.154469441
REGION1,ATSODIFH1,S04B2,2041,0.154469441
REGION1,ATSODIFH1,S04B2,2042,0.154469441
REGION1,ATSODIFH1,S04B2,2043,0.154469441
REGION1,ATSODIFH1,S04B2,2044,0.154469441
REGION1,ATSODIFH1,S04B2,2045,0.154469441
REGION1,ATSODIFH1,S04B2,2046,0.154469441
REGION1,ATSODIFH1,S04B2,2047,0.154469441
REGION1,ATSODIFH1,S04B2,2048,0.154469441
REGION1,ATSODIFH1,S04B2,2049,0.154469441
REGION1,ATSODIFH1,S04B2,2050,0.154469441
REGION1,ATSODIFH1,S04B2,2051,0.154469441
